date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:35	29722/29722	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202015%2013:22:34%20GMT	http://livedemo00.template-help.com/joomla_47434/	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/index.html	(from )
18:52:37	55026/55026	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Jul%202015%2022:13:22%20GMT	http://ajax.cloudflare.com/cdn-cgi/nexp/dok3v=900caa028b/cloudflare.min.js	C:/WebSites/HSArts/ajax.cloudflare.com/cdn-cgi/nexp/dok3v=900caa028b/cloudflare.min.js	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:38	1613/1613	---M--	200	added ('OK')	application/rss+xml	date:Sat,%2001%20Aug%202015%2013:22:39%20GMT	http://livedemo00.template-help.com/joomla_47434/index.php?format=feed&type=rss	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/indexc0d0.php	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:39	2352/2352	---M--	200	added ('OK')	application/atom+xml	date:Sat,%2001%20Aug%202015%2013:22:41%20GMT	http://livedemo00.template-help.com/joomla_47434/index.php?format=feed&type=atom	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/index7b17.php	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:40	4150/4150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225215ed0e-1036%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/favicon.ico	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/favicon.ico	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:41	17173/17173	---MCZ	200	added ('OK')	text/css	etag:W/%22521c6d98-4315%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/template.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/template.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:41	11865/11865	---MCZ	200	added ('OK')	text/css	etag:W/%22521c6d8e-2e59%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/default.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/default.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:42	2371/2371	---MCZ	200	added ('OK')	text/css	etag:W/%225215ff84-943%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/touch.gallery.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/touch.gallery.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:43	150821/150821	---MCZ	200	added ('OK')	text/css	etag:W/%22521c6d88-24d25%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/bootstrap.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/bootstrap.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:45	7632/7632	---MCZ	200	added ('OK')	text/css	etag:W/%22521c6d96-1dd0%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/responsive.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/responsive.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:45	2490/2490	---MCZ	200	added ('OK')	text/css	etag:W/%22521c6d92-9ba%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/komento.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/komento.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:45	8191/8191	---MCZ	200	added ('OK')	text/css	etag:W/%22521c6d8a-1fff%22	http://livedemo00.template-help.com/joomla_47434/templates/theme1694/css/camera.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/templates/theme1694/css/camera.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:46	978/978	---MCZ	200	added ('OK')	text/css	etag:W/%225215ffc6-3d2%22	http://livedemo00.template-help.com/joomla_47434/modules/mod_superfish_menu/css/superfish.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/modules/mod_superfish_menu/css/superfish.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:46	2096/2096	---MCZ	200	added ('OK')	text/css	etag:W/%225215ffc6-830%22	http://livedemo00.template-help.com/joomla_47434/modules/mod_superfish_menu/css/superfish-navbar.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/modules/mod_superfish_menu/css/superfish-navbar.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:46	921/921	---MCZ	200	added ('OK')	text/css	etag:W/%225215ffc6-399%22	http://livedemo00.template-help.com/joomla_47434/modules/mod_superfish_menu/css/superfish-vertical.css	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/modules/mod_superfish_menu/css/superfish-vertical.css	(from http://livedemo00.template-help.com/joomla_47434/)
18:52:47	3813/3813	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22517a838a-ee5%22	http://livedemo00.template-help.com/joomla_47434/media/system/js/core.js	C:/WebSites/HSArts/livedemo00.template-help.com/joomla_47434/media/system/js/core.js	(from http://livedemo00.template-help.com/joomla_47434/)
